# nnodes natoms steps/s Matomsteps/s/node
     1       8192000    535.400 4385.99680
     2       8192000    878.954 3600.19558
     4       8192000   1343.357 2751.19514
     8       8192000   1672.261 1712.39526
    16       8192000   1871.866  958.39539
    32       8192000   2133.297  546.12403
    64       8192000   3134.709  401.24275
   128       8192000   3720.411  238.10630
   256       8192000   4124.891  131.99651
