# Nodes Time atoms Matom-steps/s/node
1 15.5358 "3,735,552" 24.04479975
2 16.3514 "7,471,104" 22.84545666
4 16.7031 "14,942,208" 22.36442337
8 17.0834 "29,884,416" 21.86656052
16 17.0612 "59,768,832" 21.89501325
32 17.3737 "119,537,664" 21.50118858
64 18.1511 "239,075,328" 20.58030643
128 18.4 "478,150,656" 20.30191304
256 18.6042 "956,301,312" 20.07907892
512 18.7105 "1,912,602,624" 19.96500361
1024 19.2761 "3,825,205,248" 19.37918977
2048 19.7382 "7,650,410,496" 18.92549473
4096 21.0006 "15,300,820,992" 17.78783463
8192 21.7534 "30,601,641,984" 17.17226732
