# Nodes Time atoms Matom-steps/s/node
1 6.08611 256000 8.412598524
2 6.12547 512000 8.358542283
4 6.12532 1024000 8.358746972
8 6.21067 2048000 8.24387707
16 6.15983 4096000 8.311917699
32 6.21775 8192000 8.234489968
64 6.24882 16384000 8.193546942
128 6.30546 32768000 8.11994684
256 6.25452 65536000 8.186079827
512 6.24006 131072000 8.20504931
1024 6.34086 262144000 8.074614484
2048 6.38156 524288000 8.023116605
4096 6.4513 1048576000 7.936384915
8192 6.4616 2097152000 7.92373406
