# Nodes Time atoms Matom-steps/s/node
1 2.5145 233472 9.285026844
2 2.63824 466944 8.849536054
4 2.71134 933888 8.610945142
8 2.73344 1867776 8.541325217
16 2.80393 3735552 8.326598738
32 2.8188 7471104 8.282673478
64 2.96605 14942208 7.871478903
128 3.03693 29884416 7.68776363
256 3.17981 59768832 7.342325485
512 3.35771 119537664 6.953310441
1024 4.12134 239075328 5.664953632
2048 4.44007 478150656 5.258295477
4096 4.60994 956301312 5.064534462
8192 4.64588 1912602624 5.025355799
