# nnodes natoms steps/s Matomsteps/s/node
     1    1000612928      0.023   23.01410
     2    1000612928      0.045   22.51379
     4    1000612928      0.089   22.26364
     8    1000612928      0.179   22.38871
    16    1000612928      0.356   22.26364
    32    1000612928      0.706   22.07602
    64    1000612928      1.399   21.87277
   128    1000612928      2.794   21.84150
   256    1000612928      5.466   21.36465
   512    1000612928     10.562   20.64155
  1024    1000612928     19.883   19.42889
