# nnodes natoms steps/s Matomsteps/s/node
     1      10027008      2.199   22.04939
     2      10027008      4.327   21.69343
     4      10027008      8.427   21.12440
     8      10027008     15.959   20.00263
    16      10027008     30.841   19.32768
    32      10027008     58.239   18.24884
    64      10027008     97.927   15.34242
   128      10027008    156.087   12.22723
   256      10027008    203.195    7.95874
   512      10027008    266.407    5.21731
  1024      10027008    307.309    3.00917
