# nnodes natoms steps/s Matomsteps/s/node
     1      10061824    322.397 3243.90187
     2      10061824    522.489 2628.59618
     4      10061824    697.967 1755.70528
     8      10061824    878.121 1104.43737
    16      10061824    943.097  593.07975
    32      10061824   1066.408  335.31280
    64      10061824   1103.428  173.47654
   128      10061824   1179.051   92.68284
   256      10061824   1285.427   50.52242
   512      10061824   1334.141   26.21854
