
1 4096000 1462.003 5988.36
2 8192000 1263.442 5175.06
4 16384000 1155.955 4734.79
8 32768000 1022.156 4186.75
16 65536000 1012.604 4147.63
32 131072000 1016.960 4165.47
64 262144000 905.121 3707.38
128 524288000 885.557 3627.24
