# Nodes Time atoms Matom-steps/s/node  
1 8.95545 16384000 1829.500472  
2 9.38652 32768000 1745.481819  
4 10.0927 65536000 1623.351531  
8 11.1287 131072000 1472.229461  
16 12.2694 262144000 1335.354622  
32 12.6976 524288000 1290.322581  
64 12.9091 1048576000 1269.182205  
128 12.8302 2097152000 1276.987109  
256 13.1128 4194304000 1249.46617  
512 13.242 8388608000 1237.275336  
1024 13.4761 16777216000 1215.782014  
2048 13.5794 33554432000 1206.533426  
4096 14.1698 67108864000 1156.261909  
8192 13.9549 1.34218E+11 1174.06789  
