# Nodes Time atoms Matom-steps/s/node
1 1.58578 64000 8.071737568
2 1.60187 128000 7.990660915
4 1.59043 256000 8.048137925
8 1.60837 512000 7.958367789
16 1.60711 1024000 7.964607276
32 1.61978 2048000 7.902307721
64 1.62665 4096000 7.868933083
128 1.64518 8192000 7.780303675
256 1.64543 16384000 7.779121567
512 1.63793 32768000 7.814741778
1024 1.65906 65536000 7.715212229
2048 1.66892 131072000 7.669630659
4096 1.70784 262144000 7.494847292
8192 1.72331 524288000 7.427566718
