# Nodes Time atoms Matom-steps/s/node
1 0.608842 16000 5.255879194
2 0.602318 32000 5.312808184
4 0.60412 64000 5.296960869
8 0.614777 128000 5.205139425
16 0.617373 256000 5.183252264
32 0.623058 512000 5.13595845
64 0.626803 1024000 5.10527231
128 0.627747 2048000 5.09759505
256 0.6313 4096000 5.068905433
512 0.646881 8192000 4.94681402
1024 0.651573 16384000 4.911191839
2048 0.677481 32768000 4.723379696
4096 0.68906 65536000 4.644007779
8192 0.696393 131072000 4.595106499
