# Nodes Time atoms Matom-steps/s/node
1 5.22064 933888 17.8883815
2 5.42149 1867776 17.22567043
4 5.58236 3735552 16.72926862
8 5.73607 7471104 16.28097286
16 5.86054 14942208 15.93518686
32 5.90446 29884416 15.81665385
64 6.16801 59768832 15.14083148
128 6.10521 119537664 15.29657457
256 6.38049 239075328 14.63661882
512 6.57859 478150656 14.19586872
1024 6.91379 956301312 13.50761305
2048 7.32767 1912602624 12.74467873
4096 7.84223 3825205248 11.90844951
8192 8.21532 7650410496 11.36763997
